AEC,#genre#
凤凰中文-5,http://r.jdshipin.com/cCCzW
凤凰中文-6,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文-7,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰中文-8,http://bxtv.3a.ink/api.php?id=fhzw

鳳凰資訊-1,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
鳳凰資訊-2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZODaRO&tk=IaRTZBNZkJti
鳳凰資訊-3,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052577
鳳凰資訊-4,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052576
鳳凰資訊-5,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052578
凤凰资讯-6,http://r.jdshipin.com/0Rp07
凤凰资讯-7,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰资讯-8,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx


滚石30周年,#genre#
滚石30周年1,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=O5fSpo&tk=IaRTZBNZkJti
滚石30周年2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VzMFp3&tk=IaRTZBNZkJti
滚石30周年3,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TD4Mle&tk=IaRTZBNZkJti
滚石30周年4,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TAMiLX&tk=IaRTZBNZkJti
滚石30周年5,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zA06po&tk=IaRTZBNZkJti
滚石30周年6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6VOJKW&tk=IaRTZBNZkJti
滚石30周年7,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KATsIG&tk=IaRTZBNZkJti
滚石30周年8,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Dy3qWw&tk=IaRTZBNZkJti
滚石30周年9,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uQgY81&tk=IaRTZBNZkJti
滚石30周年10,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V69D0e&tk=IaRTZBNZkJti
滚石30周年11,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Y7C7iY&tk=IaRTZBNZkJti
滚石30周年12,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eemB9R&tk=IaRTZBNZkJti
滚石30周年13,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Ajyq9l&tk=IaRTZBNZkJti


Rock Music,#genre#
Now 70's,https://php.946985.filegear-sg.me/mytv265.php?id=NOW7
Now 80's,https://php.946985.filegear-sg.me/mytv265.php?id=NOW8
Now 90's,https://php.946985.filegear-sg.me/mytv265.php?id=NOW9
Now Rock,https://php.946985.filegear-sg.me/mytv265.php?id=NOWR
Concerto,https://php.946985.filegear-sg.me/mytv265.php?id=CONC
TRACEURBAN,https://php.946985.filegear-sg.me/mytv265.php?id=TRUR



AFN,#genre#
AFN-2,https://hls-gateway.vpstv.net/streams/477787.m3u8
AFN-3,https://hls-gateway.vpstv.net/streams/709072.m3u8
AFN-4,https://hls-gateway.vpstv.net/streams/709550.m3u8
美食星球-1,https://hls-gateway.vpstv.net/streams/476263.m3u8
美食星球-2,https://hls-gateway.vpstv.net/streams/709110.m3u8

旅遊,#genre#
环球旅游,https://v.929777.xyz/epg/migu/958475356/
